date,account,category,amount,currency,converted amount,currency,description
01/03/2021,Платіжна картка,Машина,-200,UAH,-200,UAH,Діагностика ходової
01/03/2021,Платіжна картка,IT штуки,-140.25,UAH,-140.25,UAH,DigitalOcean
01/03/2021,Платіжна картка,Кафе,-120,UAH,-120,UAH,День народження Жені
01/03/2021,Платіжна картка,Здоров'я,-92,UAH,-92,UAH,Солпадеїн
01/03/2021,Платіжна картка,Здоров'я,-362.9,UAH,-362.9,UAH,Антибіотик
01/03/2021,Платіжна картка,Розваги,-840.01,UAH,-840.01,UAH,Патреон
01/03/2021,Платіжна картка,Initial balance 'Платіжна картка',25 122.29,UAH,25 122.29,UAH,
02/03/2021,Платіжна картка,Машина,-1 500,UAH,-1 500,UAH,Заміна тяжок передніх стабілізаторів
03/03/2021,Платіжна картка,Їжа,-463.15,UAH,-463.15,UAH,Дитяче харчування і катридж для бритви
03/03/2021,Платіжна картка,Кафе,-197,UAH,-197,UAH,макдональдс
03/03/2021,Платіжна картка,Здоров'я,-7 800,UAH,-7 800,UAH,Операція Марини
03/03/2021,Платіжна картка,Здоров'я,-923.44,UAH,-923.44,UAH,Ліки Марини
03/03/2021,Платіжна картка,Кафе,-133,UAH,-133,UAH,макдональдс
03/03/2021,Платіжна картка,Кафе,-311,UAH,-311,UAH,Ракета доставка
03/03/2021,Платіжна картка,IT штуки,-59,UAH,-59,UAH,
04/03/2021,Платіжна картка,Транспорт,-2 057.58,UAH,-2 057.58,UAH,Квитки в київ і назад
04/03/2021,Платіжна картка,Кафе,-500,UAH,-500,UAH,"Ракета (пюрешки, рибні котлети, лосось)"
05/03/2021,Платіжна картка,Здоров'я,-1 620,UAH,-1 620,UAH,Пульсоксиметри
05/03/2021,Платіжна картка,Здоров'я,-35,UAH,-35,UAH,Антисептик
05/03/2021,Платіжна картка,Житло,-85.86,UAH,-85.86,UAH,"скотч, 3 рулони"
05/03/2021,Платіжна картка,Їжа,-1 115.56,UAH,-1 115.56,UAH,Продукти для ларіси
05/03/2021,Платіжна картка,Здоров'я,-520.57,UAH,-520.57,UAH,Ліки для ларіси
05/03/2021,Платіжна картка,Їжа,-678.07,UAH,-678.07,UAH,Продукти додому
05/03/2021,Платіжна картка,Подарунки,-216,UAH,-216,UAH,Квіти і сертифікат для Лізи
05/03/2021,Платіжна картка,Різне,2 000,UAH,2 000,UAH,Каталізатор продали
06/03/2021,Платіжна картка,Здоров'я,-74,UAH,-74,UAH,Цинк для ларіси
06/03/2021,Платіжна картка,Їжа,-329.85,UAH,-329.85,UAH,Продукти для ларіси
06/03/2021,Платіжна картка,Благодійність,-500,UAH,-500,UAH,Допомога нужденним
07/03/2021,Платіжна картка,Машина,-1 107.49,UAH,-1 107.49,UAH,Заправка wog
08/03/2021,Платіжна картка,Кафе,-45,UAH,-45,UAH,макфлурі шоколадний
08/03/2021,Платіжна картка,Їжа,-66.58,UAH,-66.58,UAH,кефір
08/03/2021,Платіжна картка,Подарунки,-1 004,UAH,-1 004,UAH,Квіті і рафаелло
08/03/2021,Платіжна картка,Здоров'я,-25.2,UAH,-25.2,UAH,"маска, рукавички"
08/03/2021,Платіжна картка,Їжа,-903.6,UAH,-903.6,UAH,Продукти для ларіси
08/03/2021,Платіжна картка,Благодійність,-350,UAH,-350,UAH,Назару на штани
09/03/2021,Платіжна картка,Їжа,-159.1,UAH,-159.1,UAH,Кабаноси
10/03/2021,Платіжна картка,Здоров'я,-198.3,UAH,-198.3,UAH,Колдрекс
10/03/2021,Платіжна картка,Благодійність,-200,UAH,-200,UAH,УБС
10/03/2021,Платіжна картка,Зарплата,67 000,UAH,67 000,UAH,зп
10/03/2021,Платіжна картка,Кафе,-701,UAH,-701,UAH,Обід
10/03/2021,Платіжна картка,Благодійність,-131,UAH,-131,UAH,посилка
10/03/2021,Платіжна картка,Гігієна,-300,UAH,-300,UAH,стрижка
10/03/2021,Платіжна картка,Їжа,-29.5,UAH,-29.5,UAH,Печиво
10/03/2021,Платіжна картка,Здоров'я,-280,UAH,-280,UAH,Сироп від кашлю
10/03/2021,Платіжна картка,Машина,-100,UAH,-100,UAH,Мийка
11/03/2021,Платіжна картка,IT штуки,-197.73,UAH,-197.73,UAH,JetBrains
11/03/2021,Платіжна картка,Таксі,-56.93,UAH,-56.93,UAH,Таксі
11/03/2021,Платіжна картка,Житло,-61.74,UAH,-61.74,UAH,Газ Ларіса
11/03/2021,Платіжна картка,Таксі,-45,UAH,-45,UAH,Таксі
11/03/2021,Платіжна картка,Таксі,-61.39,UAH,-61.39,UAH,Таксі
11/03/2021,Платіжна картка,Їжа,-421.31,UAH,-421.31,UAH,Продукти додому
11/03/2021,Платіжна картка,Таксі,-54.03,UAH,-54.03,UAH,Таксі
12/03/2021,Платіжна картка,Їжа,-79.11,UAH,-79.11,UAH,Продукти в дорогу
12/03/2021,Платіжна картка,Таксі,-45,UAH,-45,UAH,Таксі
12/03/2021,Платіжна картка,Житло,-10 050,UAH,-10 050,UAH,Зйом готівки на перший платіж
12/03/2021,Платіжна картка,Таксі,-45,UAH,-45,UAH,Таксі
12/03/2021,Платіжна картка,Таксі,-67.43,UAH,-67.43,UAH,Таксі
13/03/2021,Платіжна картка,Таксі,-98.19,UAH,-98.19,UAH,Таксі від вокзалу
13/03/2021,Платіжна картка,Житло,-275,UAH,-275,UAH,Інтернет
13/03/2021,Платіжна картка,Житло,-14 000,UAH,-14 000,UAH,Квартплата
13/03/2021,Платіжна картка,Житло,-323.35,UAH,-323.35,UAH,Побутова хімія
13/03/2021,Платіжна картка,Їжа,-482.63,UAH,-482.63,UAH,Якийсь хавчик
13/03/2021,Платіжна картка,Їжа,-175,UAH,-175,UAH,Піца
13/03/2021,Платіжна картка,Таксі,-60.7,UAH,-60.7,UAH,Таксі до лаввна молу
13/03/2021,Платіжна картка,Житло,-919.73,UAH,-919.73,UAH,Побутова хімія
13/03/2021,Платіжна картка,Житло,-1 263,UAH,-1 263,UAH,сковорідка
13/03/2021,Платіжна картка,Житло,-2 000,UAH,-2 000,UAH,Стіл для Марини
13/03/2021,Платіжна картка,Житло,-774.8,UAH,-774.8,UAH,"Відро, мисочка, стіери чистоти, лопатка для сковорідки"
13/03/2021,Платіжна картка,Таксі,-68.36,UAH,-68.36,UAH,таксі від лавіна молу
14/03/2021,Платіжна картка,Житло,-20.48,UAH,-20.48,UAH,Канцелярський ніж і лінійка
14/03/2021,Платіжна картка,Кафе,-68,UAH,-68,UAH,кава іі какао
14/03/2021,Платіжна картка,Житло,-744,UAH,-744,UAH,посилки нова пошта
14/03/2021,Платіжна картка,Житло,-169,UAH,-169,UAH,посилка нова пошта
14/03/2021,Платіжна картка,Житло,-1 950,UAH,-1 950,UAH,клінінг
14/03/2021,Платіжна картка,Таксі,-62.92,UAH,-62.92,UAH,таксі в лавіна мол
14/03/2021,Платіжна картка,Житло,-397.69,UAH,-397.69,UAH,Дякую для консьєржки і Сари Конор
14/03/2021,Платіжна картка,Житло,-590,UAH,-590,UAH,килимочки д у ванну і коридор
14/03/2021,Платіжна картка,Таксі,-70.7,UAH,-70.7,UAH,таксі від лавіна молу
14/03/2021,Платіжна картка,Таксі,-93.69,UAH,-93.69,UAH,таксі на вокзал
14/03/2021,Платіжна картка,Кафе,-675,UAH,-675,UAH,мама-манана перед від'їздом
14/03/2021,Платіжна картка,Їжа,-46.46,UAH,-46.46,UAH,хавчик в дорогу
15/03/2021,Платіжна картка,Таксі,-55.26,UAH,-55.26,UAH,Таксі з вокзалу
15/03/2021,Платіжна картка,Зв'язок,-150,UAH,-150,UAH,поповнення телефону
15/03/2021,Платіжна картка,Подарунки,-361,UAH,-361,UAH,Подарунок Владу
15/03/2021,Платіжна картка,Житло,-3 700,UAH,-3 700,UAH,квартплата за стару квартиру
15/03/2021,Платіжна картка,Житло,-3 425,UAH,-3 425,UAH,комуналка за стару квартиру
15/03/2021,Платіжна картка,Таксі,-36.87,UAH,-36.87,UAH,таксі до сто
15/03/2021,Платіжна картка,Машина,-4 400,UAH,-4 400,UAH,Дзеркало і камера
15/03/2021,Платіжна картка,Їжа,-328.26,UAH,-328.26,UAH,Вода для ларіси
15/03/2021,Платіжна картка,Здоров'я,-25.2,UAH,-25.2,UAH,перчатки і маска
15/03/2021,Платіжна картка,IT штуки,-2 768,UAH,-2 768,UAH,"Ремонт ноута, телефонів"
16/03/2021,Платіжна картка,Житло,-1 062,UAH,-1 062,UAH,Щомісячний платіж Ельдорадо хз що купляв
16/03/2021,Платіжна картка,Кафе,-120,UAH,-120,UAH,Вітали Влада в димному
16/03/2021,Платіжна картка,Житло,-159,UAH,-159,UAH,коробки з нової пошти
17/03/2021,Платіжна картка,Житло,-196,UAH,-196,UAH,Монітор і якісь речі
17/03/2021,Платіжна картка,Їжа,-362.86,UAH,-362.86,UAH,Продукти додому
18/03/2021,Платіжна картка,Житло,-172,UAH,-172,UAH,Кавоварка і ноутбук
18/03/2021,Платіжна картка,Машина,-792,UAH,-792,UAH,Шиномонтаж
19/03/2021,Платіжна картка,Таксі,-44.97,UAH,-44.97,UAH,Таксі з СТО
19/03/2021,Платіжна картка,Таксі,-36.95,UAH,-36.95,UAH,Таксі на СТО
19/03/2021,Платіжна картка,Машина,-3 819.1,UAH,-3 819.1,UAH,Заміна колодок
20/03/2021,Платіжна картка,Житло,-304,UAH,-304,UAH,посилки нова пошта
20/03/2021,Платіжна картка,Житло,-176,UAH,-176,UAH,пупирка і коробки
20/03/2021,Платіжна картка,Житло,-734,UAH,-734,UAH,"Дзеркало, гітари, штука-дрюка"
20/03/2021,Платіжна картка,Кафе,-397,UAH,-397,UAH,Каліфорнія
21/03/2021,Платіжна картка,Машина,-671.79,UAH,-671.79,UAH,Заправка wog
21/03/2021,Платіжна картка,Їжа,-271.21,UAH,-271.21,UAH,Снеки
23/03/2021,Платіжна картка,Житло,-233,UAH,-233,UAH,"Пилосос, вішаки, блендер, тостер"
23/03/2021,Платіжна картка,IT штуки,-807.64,UAH,-807.64,UAH,Підписка GitKraken
25/03/2021,Платіжна картка,Кафе,-218,UAH,-218,UAH,Обід в офісі
25/03/2021,Платіжна картка,Їжа,-387.71,UAH,-387.71,UAH,Продукти додому
26/03/2021,Платіжна картка,Подарунки,-23,UAH,-23,UAH,Снікерси Артему
26/03/2021,Платіжна картка,Їжа,-299,UAH,-299,UAH,Хавчик додому ollyfood
26/03/2021,Платіжна картка,Кафе,-247,UAH,-247,UAH,Обід в офісі
28/03/2021,Платіжна картка,Кафе,-953.03,UAH,-953.03,UAH,Каліфорнія
28/03/2021,Платіжна картка,Кафе,-50,UAH,-50,UAH,чайові
28/03/2021,Платіжна картка,Розваги,-250,UAH,-250,UAH,клуб аіртуальної реальності Cube
29/03/2021,Платіжна картка,Житло,-439,UAH,-439,UAH,Посилки
29/03/2021,Платіжна картка,Житло,-182,UAH,-182,UAH,посилки
29/03/2021,Платіжна картка,Житло,-180,UAH,-180,UAH,прсилки
29/03/2021,Платіжна картка,Житло,-72.3,UAH,-72.3,UAH,Скотч
29/03/2021,Платіжна картка,Здоров'я,-17.5,UAH,-17.5,UAH,Маски одноразові
29/03/2021,Платіжна картка,Їжа,-60,UAH,-60,UAH,кпрізонне
30/03/2021,Платіжна картка,Їжа,-1 000,UAH,-1 000,UAH,Раціон на два дні
30/03/2021,Платіжна картка,Житло,-2 216,UAH,-2 216,UAH,посилки
30/03/2021,Платіжна картка,Різне,9 500,UAH,9 500,UAH,Заначка
30/03/2021,Платіжна картка,Житло,-200,UAH,-200,UAH,Інтернет
30/03/2021,Платіжна картка,Житло,-4 200,UAH,-4 200,UAH,Клінінг старої хати
30/03/2021,Платіжна картка,Житло,-332.4,UAH,-332.4,UAH,"Скотч, стяжки, тампони"
30/03/2021,Платіжна картка,Житло,-347,UAH,-347,UAH,Відправка вантажним цейво
30/03/2021,Платіжна картка,Житло,-194,UAH,-194,UAH,"Коробки, пупирка"
31/03/2021,Платіжна картка,Житло,-105,UAH,-105,UAH,посилка нова пошта
31/03/2021,Платіжна картка,Житло,-149,UAH,-149,UAH,посилка нова пошта
31/03/2021,Платіжна картка,Житло,-120,UAH,-120,UAH,посилка нова пошта
31/03/2021,Платіжна картка,Здоров'я,-7 400,UAH,-7 400,UAH,"Наркоз, зубна паста, засіб для ясен"
31/03/2021,Платіжна картка,Житло,-411,UAH,-411,UAH,посилки нова пошта
31/03/2021,Платіжна картка,Машина,-899.13,UAH,-899.13,UAH,Заправка wog
31/03/2021,Платіжна картка,Житло,-2 277.6,UAH,-2 277.6,UAH,комуналка за стару квартиру
31/03/2021,Платіжна картка,Кафе,-555,UAH,-555,UAH,Каліфорнія з Владом і Анжелікою
01/04/2021,Платіжна картка,Кафе,-157,UAH,-157,UAH,Сніданок перед поїздкою
01/04/2021,Платіжна картка,Машина,-790.16,UAH,-790.16,UAH,Заправка wog
01/04/2021,Платіжна картка,Кафе,-147,UAH,-147,UAH,Обід на заправці
01/04/2021,Платіжна картка,Кафе,-22,UAH,-22,UAH,Морозиво на заправці
01/04/2021,Платіжна картка,IT штуки,-139.6,UAH,-139.6,UAH,Оренда сервера
01/04/2021,Платіжна картка,Розваги,-837.59,UAH,-837.59,UAH,Патреон
02/04/2021,Платіжна картка,Їжа,-86.99,UAH,-86.99,UAH,"""дякую"" лоя чувака, який позичив візочок, але вийшло так, що він не взяв"
03/04/2021,Платіжна картка,Їжа,-451.6,UAH,-451.6,UAH,"Пельмені, хінкалі, вареники, млинці"
03/04/2021,Платіжна картка,Благодійність,-1 040,UAH,-1 040,UAH,Назару хз на що
04/04/2021,Платіжна картка,Їжа,-104,UAH,-104,UAH,Поповнення картки для води
04/04/2021,Платіжна картка,Житло,-39.5,UAH,-39.5,UAH,Пергамент для випікання
04/04/2021,Платіжна картка,Житло,-93,UAH,-93,UAH,Паперові рушники і маски
04/04/2021,Платіжна картка,Житло,-268.15,UAH,-268.15,UAH,"Набір для рослин, мочалка і шапочка для душа, кришка в мікрохвильовку"
04/04/2021,Платіжна картка,Їжа,-1 044.03,UAH,-1 044.03,UAH,Продукти додому
05/04/2021,Платіжна картка,Кафе,-344,UAH,-344,UAH,Обалдіні піца
05/04/2021,Платіжна картка,Їжа,-437.84,UAH,-437.84,UAH,Продукти додому
05/04/2021,Платіжна картка,Їжа,-17.22,UAH,-17.22,UAH,Сметана
06/04/2021,Платіжна картка,Їжа,-81,UAH,-81,UAH,Сік
07/04/2021,Платіжна картка,Їжа,-314.87,UAH,-314.87,UAH,Хавчик
08/04/2021,Платіжна картка,Зарплата,81 000,UAH,81 000,UAH,Зарплата
08/04/2021,Платіжна картка,"Кохана дружина, яка зовсім не вибирала назву для цієї категорії",-15 000,UAH,-15 000,UAH,
08/04/2021,Платіжна картка,Житло,-4 857,UAH,-4 857,UAH,Туалетний столик і кухонні сходинки
09/04/2021,Платіжна картка,Їжа,-476.62,UAH,-476.62,UAH,Хавчик
09/04/2021,Платіжна картка,Житло,-114,UAH,-114,UAH,Одноразові рукавички
09/04/2021,Платіжна картка,Їжа,-64,UAH,-64,UAH,Напої
